Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
25-JAN-2023,19076.75,19088.4,18628.6,18780.9,348850919,11913.72
27-JAN-2023,18790.55,18792.9,17960.65,18167.25,548015528,21275.68
30-JAN-2023,18177.2,18495.3,17910.1,18229.05,604826098,22274.94
31-JAN-2023,18354.45,18658.6,18251.2,18610.65,502437924,17579
01-FEB-2023,18797.25,18806.75,17700.5,18049.15,716031431,23852.6
02-FEB-2023,18003.2,18198,17721.55,17965.75,599771122,20924.57
03-FEB-2023,18049.45,18322.4,17659.15,18294.9,505276088,17792.31
06-FEB-2023,18284.7,18350,18165.85,18318.75,323011364,11857.81
07-FEB-2023,18370.25,18440.55,18225.95,18333.6,294826342,11536.94
08-FEB-2023,18389.2,18504.55,18324.65,18486.5,239982381,10723.86
09-FEB-2023,18516.35,18518.1,18313.95,18426.05,245230534,11450.6
10-FEB-2023,18342.9,18509.25,18326.4,18404.7,239752019,9100.26
13-FEB-2023,18441.5,18501.9,18193.25,18241.55,272394661,9685.46
14-FEB-2023,18298.35,18367.6,18124.7,18316.8,284640792,11486.26
15-FEB-2023,18302,18478.2,18286.85,18458.45,203971839,9145.86
16-FEB-2023,18561.5,18636.75,18522.9,18587.25,222683859,8604.8
17-FEB-2023,18540.7,18585.55,18360.5,18410.45,225272918,8598.88
20-FEB-2023,18426.4,18466.05,18267.55,18309.85,222078785,7131.91
21-FEB-2023,18373.1,18396.1,18230.65,18254.85,269927180,8865.06
22-FEB-2023,18197.55,18197.55,17908.1,17958.9,246131429,8597.93
23-FEB-2023,17994.75,18103.6,17861.75,17996.5,284832950,8666.86
24-FEB-2023,18088.75,18097.75,17857.85,17916,219084442,7469.09
27-FEB-2023,17875.1,17918.65,17703.05,17869.6,250793182,8148.53
28-FEB-2023,17891.65,17984.45,17832.65,17890.95,480189202,17381.82
01-MAR-2023,17937.8,18252.55,17934.2,18238.65,270014357,10621.16
02-MAR-2023,18239.45,18262.5,18127.55,18206.9,277332710,12194.12
03-MAR-2023,18354.35,18621.45,18345.7,18570.4,341132628,13730.7
06-MAR-2023,18672.4,18829.4,18658.35,18704.7,276438109,13490.5
08-MAR-2023,18666,18917,18605.25,18904,261604976,11692.75
09-MAR-2023,18957.7,18971.35,18703.5,18730.2,213445113,9980.65
10-MAR-2023,18589.2,18602.05,18429.2,18560.2,214664034,9041.02
13-MAR-2023,18558.4,18661.6,18180.05,18214.9,236355382,9121.76
14-MAR-2023,18214.55,18238.6,17970.7,18106.3,268415803,10522.13
15-MAR-2023,18212.7,18270.3,18032.25,18066.3,224423054,9050.39
16-MAR-2023,18065.05,18215.6,17846.45,18138.85,274966532,9634.14
17-MAR-2023,18313.65,18337.6,18076.15,18210.95,331842576,11641.75
20-MAR-2023,18124.75,18155.65,17840.65,18026.1,219182270,8016.3
21-MAR-2023,18113.8,18160.25,18017,18130,233605270,9040.86
22-MAR-2023,18190.55,18226.1,18114.95,18135.4,187768207,6943.49
23-MAR-2023,18061.6,18158.3,18017.15,18037.75,199294250,9025.54
24-MAR-2023,18063.15,18092.25,17828.45,17860.65,227030852,8795.49
27-MAR-2023,17864.7,17950.85,17769.55,17836.55,264649987,8937.19
28-MAR-2023,17889.8,17894.15,17666.65,17738.55,249901591,9680.07
29-MAR-2023,17759.7,18092.75,17758.4,18044.45,370208196,13612.02
31-MAR-2023,18163.5,18295.45,18154.05,18257.05,296112517,10638.5
03-APR-2023,18357.4,18360.4,18265.35,18319.9,223132506,8816.95
05-APR-2023,18341,18342.6,18199.65,18285.5,260354148,8810.78
06-APR-2023,18287.6,18426.1,18229.15,18371.05,269089200,10734.85
10-APR-2023,18431,18482.15,18393.4,18433.7,211712290,9160.75
11-APR-2023,18540.9,18608.7,18498.8,18570,266534350,11826.57
12-APR-2023,18600.1,18618.95,18552.2,18610.25,218521640,9364.39
13-APR-2023,18640.5,18677.15,18544.5,18658.05,245547288,11657.38
17-APR-2023,18704.3,18778.3,18632.75,18767.5,286357998,11879.94
18-APR-2023,18813.5,18835.65,18683.35,18788.8,300613071,10187.82
19-APR-2023,18792.15,18864.45,18725.35,18754.65,235382194,9898.23
20-APR-2023,18782.1,18842.85,18752.25,18800.05,227778190,8827.81
21-APR-2023,18815.35,18821.8,18645,18712.15,189679852,9113
24-APR-2023,18735,18858.85,18681.15,18847.65,230239202,9562.71
25-APR-2023,18872.95,19021.15,18865.55,18956.55,300418051,14334.17
26-APR-2023,18968.7,19052.65,18914.4,19036.6,221577896,10283.84
27-APR-2023,19022.85,19125.7,19021.65,19105.95,210332276,8990.11
28-APR-2023,19184.15,19344,19124.15,19315.75,338506762,11884.5
02-MAY-2023,19411.3,19514.3,19383.1,19462.05,330947560,9919.48
03-MAY-2023,19414.75,19523.4,19361.35,19445.3,331157327,10664.12
04-MAY-2023,19467.2,19579,19448.5,19572.2,235250776,8931.89
05-MAY-2023,19610.95,19692.75,19479.05,19502.6,343248295,11571.57
08-MAY-2023,19539.85,19688.05,19507.6,19646.75,316818956,9632.95
09-MAY-2023,19710.1,19733.7,19518.8,19567.45,311334151,10634.26
10-MAY-2023,19589.35,19639.4,19450.05,19623.2,293923252,9686.17
11-MAY-2023,19681.9,19745.6,19634.8,19696.05,250843455,10760.29
12-MAY-2023,19745.2,19755.2,19645.1,19737.5,214852237,9786.69
15-MAY-2023,19745.2,19882.05,19660.1,19838.95,212228035,8038.48
16-MAY-2023,19914.2,19962.05,19834.3,19855.65,287157719,10562.1
17-MAY-2023,19874.7,19947.7,19762.55,19867.65,278556770,10823.07
18-MAY-2023,19968.95,19977.7,19659.3,19688.25,288062813,12461.14
19-MAY-2023,19735.55,19763.7,19522.9,19733.3,267499303,11058.07
22-MAY-2023,19743.1,19894.2,19672.4,19879.45,300853366,16098.67
23-MAY-2023,19952.3,20060.9,19926.95,19995,229245440,15595.39
24-MAY-2023,19980.5,20043.6,19893.4,19932.6,208123444,14132.64
25-MAY-2023,19904.95,20082.85,19888.4,20059.5,239959281,11379.67
26-MAY-2023,20107.3,20276.75,20079.2,20262.65,225554279,8566.83
29-MAY-2023,20394.25,20422.4,20308.2,20397.45,283558302,9834.15
30-MAY-2023,20406.4,20506.95,20377.1,20460.85,221301271,9013.28
31-MAY-2023,20455.8,20526.55,20330,20459.9,401373272,24254.59
01-JUN-2023,20438.75,20473.9,20376.2,20401.75,258809831,10331.55
02-JUN-2023,20486.7,20588.45,20461.75,20568.35,235995183,10264.5
05-JUN-2023,20643.6,20756.2,20635.1,20671.45,247372186,9717.87
06-JUN-2023,20708.55,20837.65,20692.4,20822.25,220722517,9938.28
07-JUN-2023,20908.4,20974.7,20863.9,20961.75,193213901,9585.83
08-JUN-2023,21007.7,21012.35,20770.95,20797.15,237290175,9648.9
09-JUN-2023,20850.55,20891.1,20778.6,20827.8,205552639,9821.22
12-JUN-2023,20891.85,20927.15,20839.6,20896.6,174815719,7726.18
13-JUN-2023,20971.3,21073.45,20962.35,21057.65,225048336,9597.84
14-JUN-2023,21112.8,21152,21071.2,21096.7,213605816,8110.02
15-JUN-2023,21139.4,21167.15,20976.45,21006.35,274081998,10025.16
16-JUN-2023,21068.65,21322.2,21050.35,21281.4,355443546,11526.01
19-JUN-2023,21357.5,21397.9,21172.15,21220.95,327986087,12451.82
20-JUN-2023,21254.7,21314.55,21135,21282.35,228710849,8694.68
21-JUN-2023,21335.2,21349.8,21133.05,21214.65,237879719,9101.19
22-JUN-2023,21227.35,21243.05,20978.65,21021.2,319046513,11900.93
23-JUN-2023,21029.4,21036.3,20808.35,20831.15,242151601,11465.04
26-JUN-2023,20866.2,20953.95,20775.4,20913.65,189769924,8567.43
27-JUN-2023,21001.85,21042.25,20925.55,20994.95,219743173,8789.21
28-JUN-2023,21080.75,21241.25,21056.65,21199.4,414894518,19204.99
30-JUN-2023,21274.7,21347.65,21214.9,21312.9,207552367,6541.85
03-JUL-2023,21378.3,21391.9,21280.85,21335.4,210798627,4918.84
04-JUL-2023,21384.15,21394.35,21166.75,21208.6,405025105,6485.59
05-JUL-2023,21244.35,21454.25,21222.05,21429.95,314357032,6671.36
06-JUL-2023,21461.25,21538.4,21414.2,21525.1,217569925,5962.03
07-JUL-2023,21505.3,21572.05,21285.05,21372.05,244563999,6022.29
10-JUL-2023,21452.85,21464.4,21253.7,21287.05,213584074,5152.71
11-JUL-2023,21360.3,21663.3,21353.15,21561,249842355,7753.45
12-JUL-2023,21646.75,21668.35,21550.4,21619.1,197126823,6281.99
13-JUL-2023,21707.25,21715.5,21334.95,21393.2,238200039,6245.65
14-JUL-2023,21494.65,21536.55,21327.8,21479.15,150661061,4458.1
17-JUL-2023,21531.75,21593.85,21422.65,21500.8,157685469,4591.6
18-JUL-2023,21558.1,21621.4,21351.45,21476.1,215443056,6561.53
19-JUL-2023,21528,21692.4,21515.7,21677.65,224651510,6619.48
20-JUL-2023,21719.8,21748.35,21533.35,21714.7,232336159,9665.61
21-JUL-2023,21674.45,21748.6,21564.6,21589.2,,
24-JUL-2023,21653.2,21865.1,21618.9,21689.6,276355637,8326.32
25-JUL-2023,21787.65,21797.05,21539.5,21661.15,218575033,8111.51
26-JUL-2023,21731.5,21833.3,21704.85,21797.15,301858726,6384.07
27-JUL-2023,21880.95,22005.25,21784.7,21865.1,337048022,9243.9
