MONTH,Close,MOMENTUM_PERCENT_CHANGE,SWITCH_DYNAMIC,SWITCH_DYNAMIC_OPTIMISTIC,SWITCH_DYNAMIC_PESSIMISTIC,AMOUNT_SWITCH_DYNAMIC_OPTIMISTIC,AMOUNT_SWITCH_DYNAMIC,AMOUNT_SWITCH_DYNAMIC_PESSIMISTIC
Aug-10,3087.03,12.25,MOMENTUM,MOMENTUM,MOMENTUM,4821.61,3678.99,4465.761838707545
Sep-10,3336.48,18.04,MOMENTUM,MOMENTUM,MOMENTUM,5211.22,3976.28,4826.621399730793
Oct-10,3495.16,17.71,MOMENTUM,MOMENTUM,MOMENTUM,5459.07,4165.39,5056.1711898417125
Nov-10,3409.19,10.44,MOMENTUM,MOMENTUM,MOMENTUM,5324.79,4062.93,4931.805198816784
Dec-10,3287.1,-1.48,MOMENTUM,CASH,CASH,5324.79,3917.43,4931.805198816784
Jan-11,3014.65,-13.75,CASH,CASH,CASH,5324.79,3917.43,4931.805198816784
Feb-11,2940.76,-13.74,CASH,CASH,CASH,5324.79,3917.43,4931.805198816784
Mar-11,3206.71,-2.45,CASH,CASH,CASH,5324.79,3917.43,4931.805198816784
Apr-11,3231.19,7.18,CASH,MOMENTUM,MOMENTUM,5365.44,3917.43,4969.454562578095
May-11,3157.34,7.36,CASH,MOMENTUM,MOMENTUM,5242.81,3917.43,4855.875905969727
Jun-11,3186.05,-0.64,CASH,CASH,CASH,5242.81,3917.43,4855.875905969727
Jul-11,3184.22,-1.45,CASH,CASH,CASH,5242.81,3917.43,4855.875905969727
Aug-11,2947.67,-6.64,CASH,CASH,CASH,5242.81,3917.43,4855.875905969727
Sep-11,2920.07,-8.35,CASH,CASH,CASH,5242.81,3917.43,4855.875905969727
Oct-11,3068.91,-3.62,CASH,CASH,CASH,5242.81,3917.43,4855.875905969727
Nov-11,2927.42,-0.69,CASH,CASH,CASH,5242.81,3917.43,4855.875905969727
Dec-11,2793.33,-4.34,CASH,CASH,CASH,5242.81,3917.43,4855.875905969727
Jan-12,2975.33,-3.05,CASH,CASH,CASH,5242.81,3917.43,4855.875905969727
Feb-12,3099.79,5.89,CASH,MOMENTUM,MOMENTUM,5462.12,3917.43,5059.0003712414755
Mar-12,3198.49,14.5,MOMENTUM,MOMENTUM,MOMENTUM,5636.04,4042.16,5220.083327390613
Apr-12,3204.4,7.7,MOMENTUM,MOMENTUM,MOMENTUM,5646.45,4049.63,5229.728720205622
May-12,3072.75,-0.87,MOMENTUM,CASH,CASH,5646.45,3883.26,5229.728720205622
Jun-12,3236.3,1.18,MOMENTUM,CASH,CASH,5646.45,4089.95,5229.728720205622
Jul-12,3273.32,2.15,MOMENTUM,CASH,CASH,5646.45,4136.73,5229.728720205622
